id,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,Amenity_TV,Amenity_Internet,Amenity_WirelessInternet,Amenity_Freeparkingonpremises,Amenity_Elevatorinbuilding,Amenity_Heating,Amenity_Family/kidfriendly,Amenity_Smokedetector,Amenity_Essentials,Amenity_CableTV,Amenity_Kitchen,Amenity_Petsallowed,Amenity_Gym,Amenity_Petsliveonthisproperty,Amenity_Cat(s),Amenity_Suitableforevents,Amenity_Washer,Amenity_Firstaidkit,Amenity_Shampoo,Amenity_24-hourcheck-in,Amenity_Hangers,Amenity_Hairdryer,Amenity_Iron,Amenity_Laptopfriendlyworkspace,Amenity_Privatelivingroom,Amenity_Privateentrance,Amenity_Dryer,Amenity_Carbonmonoxidedetector,Amenity_Lockonbedroomdoor,Amenity_Smokingallowed,Amenity_Breakfast,Amenity_Safetycard,Amenity_Dog(s),Amenity_Fireextinguisher,Amenity_Buzzer/wirelessintercom,Amenity_Hottub,Amenity_Indoorfireplace,Amenity_Otherpet(s),Amenity_Wheelchairaccessible,Amenity_SelfCheck-In,Amenity_Smartlock,Amenity_Keypad,Amenity_Lockbox,Amenity_Airconditioning,Amenity_DoormanEntry,Amenity_Doorman,Amenity_Pool,Amenity_Freeparkingonstreet,Amenity_Paidparkingoffpremises,house_rules_allow,house_rules_ani,house_rules_apart,house_rules_check,house_rules_clean,house_rules_flat,house_rules_guest,house_rules_home,house_rules_hous,house_rules_leav,house_rules_loud,house_rules_make,house_rules_music,house_rules_neighbour,house_rules_nois,house_rules_onli,house_rules_parti,house_rules_pet,house_rules_pleas,house_rules_respect,house_rules_shoe,house_rules_smoke,house_rules_stay,house_rules_thi,house_rules_time,house_rules_treat,house_rules_use,experiences_offered,host_location,host_response_time,host_is_superhost,neighbourhood_cleansed,zipcode,property_type,room_type,bed_type,first_review,last_review,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,host_response_rate_binned,host_verification_binned,perceived_quality
10218056,0.3333333333333333,0.3125,0.3,0.2,0.14673240662472858,0.09919839679358718,0.05541561712846348,0.0,0.0,0.01675977653631285,0.12181640836674976,0.0,0.0,0.07777777777777778,0.03835616438356165,0.0,0.0014084507042253524,0.39,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.4782360026226292,0.0,0.0,0.0,0.4425170207669351,0.0,0.0,0.0,0.0,0.0,0.4119695363540044,0.0,0.33425314344755,0.395488357306448,0.259983352857063,0.0,0.0,0.26461777115498103,0.0,0.0,0.0,0.0,0.0,0,1,0,1,19,152,1,0,0,2,304,0,0,0,0,0,1,1
6260659,0.2,0.25,0.2,0.06666666666666668,0.1512892429044363,0.001002004008016032,0.1309823677581864,0.0,0.0,0.905027932960894,0.12181640836674976,0.0,0.0,0.022222222222222227,0.7589041095890411,0.04610951008645533,0.0,0.87,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5747979002664328,0.6801009409062994,0.0,0.0,0.0,0.4550495401905888,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19,150,0,0,0,482,305,0,0,0,0,0,0,0
964560,0.06666666666666668,0.125,0.1,0.0,0.04420359033130478,0.2995991983967936,0.06801007556675064,0.0,0.075,0.0,0.002926194862902352,0.9666666666666668,0.9833333333333332,0.9888888888888888,0.9972602739726028,0.06628242074927954,0.0,0.6,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22782431959514096,0.0,0.0,0.0,0.24163418252468366,0.0,0.17896544162822173,0.1073278032808424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09991249654114986,0.7224775116516631,0.0,0.12591299266474526,0.06685057007825544,0.0,0.22278487812284672,0.0,0.0,0.4942152065781743,3,0,1,0,19,153,1,1,0,889,176,0,0,1,1,0,0,0
6442738,0.2,0.125,0.2,0.06666666666666668,0.14673240662472858,0.09919839679358718,0.030226700251889168,0.0,0.0,0.0,0.12181640836674976,0.7,0.7666666666666667,0.8,0.9424657534246575,0.0345821325648415,0.0,0.74,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6154576002141068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6040100165019411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3548621677359852,0.0,0.0,0.3611878793837564,0.0,0.0,0.0,0.0,0.0,0,1,2,0,19,154,1,0,0,107,4,0,0,0,0,1,1,0
9460205,0.2,0.125,0.2,0.06666666666666668,0.0954679984780167,0.2995991983967936,0.11838790931989925,0.2,0.075,0.01675977653631285,0.003251327625447057,0.03333333333333333,0.5166666666666667,0.6777777777777778,0.16712328767123288,0.02017291066282421,0.002816901408450705,0.76,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.19080876874391414,0.0,0.0,0.3818383760248679,0.0,0.14140357312424695,0.33920593252891224,0.17665961956689155,0.0,0.1977483827235988,0.20467973364263495,0.20886648997206272,0.16264128844765585,0.16446459265976585,0.0,0.13343901000269492,0.15788505179711368,0.3113680924398386,0.14267685926981968,0.0,0.0,0.19220115425840445,0.3520520779655668,0.0,0.0,0.390487657654412,0,0,0,0,19,155,1,0,0,890,7,0,0,0,0,0,0,0
7846523,0.06666666666666668,0.125,0.1,0.0,0.07268381707947806,0.3997995991983968,0.04282115869017632,0.0,0.0,0.0223463687150838,0.12181640836674976,0.0,0.16666666666666666,0.4444444444444444,0.1178082191780822,0.002881844380403458,0.0,0.24,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.424733357434543,0.5094357638973106,0.0,0.0,0.0,0.3073978561788457,0.0,0.2442624997854725,0.24700082563723,0.0,0.0,0.2371193551084883,0.0,0.4285579220310034,0.0,0.15865446880373096,0.0,0.0,0.0,0.2825792584753553,0.0,0,1,0,0,19,152,0,0,0,264,306,0,0,0,0,0,1,1
8282811,0.2,0.125,0.1,0.06666666666666668,0.0954679984780167,0.249498997995992,0.04282115869017632,0.06666666666666668,0.1,0.00558659217877095,0.006394277663379213,0.8333333333333334,0.8333333333333334,0.6111111111111112,0.2410958904109589,0.09221902017291066,0.0,1.98,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5658824631157335,0.3719958308907797,0.0,0.0,0.3786269642556045,0.0,0.630902339254289,0.0,0.0,0.0,0,1,1,0,19,156,0,0,0,14,53,0,0,0,0,0,2,0
11299097,0.2,0.125,0.2,0.13333333333333333,0.11255613452692063,0.09919839679358718,0.08060453400503778,0.0,0.0,0.00558659217877095,0.12181640836674976,0.0,0.08333333333333333,0.2888888888888889,0.2410958904109589,0.05187319884726225,0.0,3.71,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3344583366182819,0.3432943675040701,0.634655071115063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3732501116235691,0.0,0.3577740593301427,0.0,0.0,0.31651479532222754,0.0,0.0,0.0,0,1,1,0,19,156,0,0,0,191,9,1,0,0,0,0,2,1
4805849,0.2,0.125,0.1,0.06666666666666668,0.0954679984780167,0.09919839679358718,0.017632241813602016,0.06666666666666668,0.05,0.00558659217877095,0.002926194862902352,0.4666666666666667,0.38333333333333336,0.25555555555555554,0.06301369863013699,0.11239193083573487,0.0,1.62,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6782821781771797,0.2717378498427833,0.0,0.33949004338787525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994539319382594,0.0,0.3823679653758637,0.4060187264883613,0.0,0.0,0.0,0.0,0.0,0,1,0,1,19,151,5,0,0,52,9,0,1,0,0,0,1,1
8696956,0.13333333333333333,0.125,0.1,0.0,0.13534031592545928,0.5,0.05541561712846348,0.06666666666666668,0.1,0.00558659217877095,0.02156713991546548,0.36666666666666653,0.45,0.5888888888888889,0.6410958904109589,0.02017291066282421,0.0,0.61,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.478754370662866,0.0,0.0,0.4381735118221181,0.0,0.0,0.0,0.0,0.4909851998751504,0.0,0.5185901088733212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622900276239852,0.0,0.0,0.0,0.0,0.0,0,1,2,0,19,150,0,0,0,891,159,0,0,0,0,0,0,0
5145259,0.2,0.125,0.2,0.13333333333333333,0.2093889054707098,0.09919839679358718,0.05541561712846348,0.2,0.25,0.0111731843575419,0.0006502655250894115,0.9,0.95,0.9666666666666668,0.9534246575342464,0.05763688760806916,0.0,1.02,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.8770074926077674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4804766986127805,0.0,0.0,0.0,0.0,0.0,0,1,0,1,19,157,0,0,0,20,62,0,1,0,0,0,2,1
6194266,0.06666666666666668,0.125,0.1,0.0,0.08179748963889351,0.24448897795591185,0.14609571788413098,0.06666666666666668,0.06,0.01675977653631285,0.12181640836674976,0.06666666666666668,0.38333333333333336,0.5888888888888889,0.8657534246575342,0.04899135446685879,0.00563380281690141,0.96,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8311190979647788,0.0,0.0,0.0,0.5560944569029731,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19,150,0,0,0,720,2,0,0,0,0,0,1,1
10650727,0.2,0.125,0.2,0.06666666666666668,0.17521263337290185,0.3997995991983968,0.11838790931989925,0.0,0.0,0.00558659217877095,0.12181640836674976,0.9,0.8666666666666667,0.9111111111111112,0.978082191780822,0.0,0.0,0.42,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,19,158,1,0,0,671,207,0,1,0,0,0,1,1
16172281,0.2,0.125,0.2,0.06666666666666668,0.10799929824721292,0.1492985971943888,0.09319899244332494,0.0,0.05,0.0111731843575419,0.12181640836674976,0.0,0.016666666666666666,0.04444444444444445,0.1178082191780822,0.0,0.0,1.22,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4519697936769703,0.0,0.0,0.3708185196699753,0.0,0.5768480801762199,0.0,0.0,0.2935654371593243,0.0,0.4891651639025712,0.0,0.0,0.0,0,1,0,0,19,153,1,0,0,750,45,0,1,0,0,0,0,1
13201361,0.06666666666666668,0.125,0.0,0.0,0.06129172638020874,0.09919839679358718,0.05541561712846348,0.0,0.0,0.00558659217877095,0.00964560528882627,0.03333333333333333,0.016666666666666666,0.1111111111111111,0.273972602739726,0.02017291066282421,0.004225352112676056,1.16,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983997663436805,0.0,0.4207991977269613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21282980779511265,0.0,0.0,0.0,0.0,0.7867077820153694,0,0,0,0,19,149,0,0,0,142,89,0,0,0,0,0,0,0
7254521,0.3333333333333333,0.375,0.3,0.13333333333333333,0.14103636127509392,0.249498997995992,0.09319899244332494,0.13333333333333333,0.15,0.0,0.12181640836674976,0.0,0.36666666666666653,0.5444444444444444,0.8493150684931506,0.04034582132564842,0.0014084507042253524,0.89,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3110074721808028,0.31922395635544265,0.0,0.0,0.0,0.5907628591288345,0.30121861022604024,0.0,0.0,0.0,0.0,0.0,0.0,0.44622993789853693,0.0,0.1735396624897635,0.0,0.0,0.1766331505089724,0.0,0.0,0.3181203691547981,0.0,0.0,0,1,1,0,19,155,1,0,0,153,307,0,1,0,0,0,1,0
3588202,0.06666666666666668,0.125,0.1,0.0,0.15698528825407096,0.5,0.1712846347607053,0.06666666666666668,0.1,0.0111731843575419,0.12181640836674976,1.0,1.0,1.0,1.0,0.005763688760806916,0.07464788732394366,0.17,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.12130307066581635,0.12858160267570753,0.0,0.12534454313454074,0.12865601165914164,0.11892445370217858,0.0952885875008676,0.8000405303738587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14013530058528567,0.08992145318349541,0.0,0.13988248936897718,0.2884398764860473,0.0,0.0,0.0,0.3558595921045913,0.0,0.12679285921783962,0.0,2,0,0,0,19,149,0,0,0,892,186,0,0,0,0,1,1,0
2408578,0.06666666666666668,0.125,0.1,0.0,0.054456471960647165,0.1993987975951904,0.017632241813602016,0.06666666666666668,0.125,0.0,0.12181640836674976,0.9666666666666668,0.85,0.7222222222222222,0.9150684931506852,0.13544668587896252,0.0,1.37,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809929579597647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6086201742341891,0.0,0.0,0.0,0.4072223897630819,0.0,0.0,0.0,0.0,0.0,2,0,1,0,19,17,1,1,0,893,11,0,2,0,0,0,0,1
