neighbourhood_cleansed,property_type,room_type,bed_type,price,cancellation_policy,host_response_rate_binned,predicted_quality
15,0,1,0,65.0,1,0,1
27,0,0,0,75.0,0,0,0
27,0,0,0,100.0,1,0,1
14,0,1,0,60.0,0,0,1
22,1,1,0,15.0,1,0,1
25,0,0,0,145.0,1,1,0
23,0,1,0,90.0,0,0,1
26,0,1,0,35.0,0,0,1
15,0,0,0,105.0,0,1,0
28,0,0,0,115.0,1,0,1
23,0,0,0,175.0,0,0,0
27,9,0,0,160.0,0,0,1
14,0,1,0,30.0,0,0,1
25,8,0,0,150.0,0,0,1
25,0,0,0,130.0,0,0,0
29,0,0,0,120.0,0,0,0
8,0,1,0,25.0,0,0,1
27,0,1,0,35.0,0,0,1
19,1,0,0,113.0,2,0,1
25,0,0,0,125.0,0,0,0
25,0,0,0,150.0,0,0,0
27,0,0,0,110.0,0,0,0
22,0,0,0,150.0,1,0,1
27,0,0,0,95.0,0,0,0
27,0,0,0,152.0,0,1,0
27,0,1,0,60.0,0,0,1
23,1,0,0,165.0,1,1,0
25,0,0,0,300.0,2,0,1
29,0,0,0,60.0,0,1,0
29,1,1,0,40.0,0,0,1
29,0,0,0,140.0,1,0,1
8,0,1,0,50.0,1,0,1
21,0,0,0,145.0,0,0,0
25,0,1,0,89.0,0,1,0
21,0,0,0,249.0,0,0,1
28,0,0,0,70.0,1,0,1
15,0,1,0,50.0,0,0,1
23,0,0,0,111.0,0,0,0
26,0,1,0,78.0,0,0,1
14,0,0,0,112.0,1,0,1
27,0,0,0,90.0,0,0,0
23,0,0,0,148.0,0,0,0
22,0,1,0,99.0,0,0,1
25,0,0,0,300.0,1,1,1
25,0,0,0,250.0,0,0,1
8,1,0,0,125.0,1,0,1
25,0,0,0,100.0,1,0,1
15,0,0,0,119.0,0,0,0
25,0,0,0,125.0,0,0,0
25,0,0,0,85.0,0,1,0
14,0,0,0,97.0,0,0,0
29,0,0,0,50.0,1,0,1
27,1,1,0,29.0,0,0,1
27,0,0,0,98.0,0,0,0
28,0,0,0,132.0,1,0,1
26,0,0,0,320.0,0,0,1
19,0,0,0,63.0,0,3,0
26,0,0,0,190.0,0,0,0
21,0,0,0,50.0,0,1,0
23,0,0,0,95.0,0,1,0
23,0,0,0,70.0,1,0,1
26,0,0,0,190.0,0,0,0
25,0,0,0,210.0,0,0,1
31,1,1,0,37.0,2,0,1
